JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,6453,3133,3320,2520,1369,1151,3933,1764,2169,
 ARAD,4772,2784,1988,2259,1343,916,2513,1441,1072,
 ARGES,10070,5143,4927,2464,1541,923,7606,3602,4004,
 BACAU,10825,4721,6104,3011,1337,1674,7814,3384,4430,
 BIHOR,5317,3205,2112,1876,1203,673,3441,2002,1439,
 BISTRITA-NASAUD,4062,2280,1782,1484,905,579,2578,1375,1203,
 BOTOSANI,3933,1958,1975,1508,831,677,2425,1127,1298,
 BRAILA,4874,2122,2752,1412,793,619,3462,1329,2133,
 BRASOV,6831,3284,3547,2853,1547,1306,3978,1737,2241,
 BUZAU,11953,5085,6868,2481,1285,1196,9472,3800,5672,
 CALARASI,3714,1950,1764,1089,607,482,2625,1343,1282,
 CARAS-SEVERIN,3771,1786,1985,1713,847,866,2058,939,1119,
 CLUJ,6595,3679,2916,3093,1918,1175,3502,1761,1741,
 CONSTANTA,7017,3827,3190,3532,2130,1402,3485,1697,1788,
 COVASNA,4290,2209,2081,1535,858,677,2755,1351,1404,
 DAMBOVITA,6083,2962,3121,1145,632,513,4938,2330,2608,
 DOLJ,17707,7742,9965,3242,1868,1374,14465,5874,8591,
 GALATI,12027,5345,6682,2781,1580,1201,9246,3765,5481,
 GIURGIU,2153,1175,978,590,363,227,1563,812,751,
 GORJ,4979,2422,2557,1632,945,687,3347,1477,1870,
 HARGHITA,5517,2883,2634,1946,1106,840,3571,1777,1794,
 HUNEDOARA,6009,3381,2628,4331,2519,1812,1678,862,816,
 IALOMITA,4294,2008,2286,1417,747,670,2877,1261,1616,
 IASI,9078,4289,4789,1880,1057,823,7198,3232,3966,
 ILFOV,922,551,371,267,158,109,655,393,262,
 MARAMURES,5008,2466,2542,3002,1469,1533,2006,997,1009,
 MEHEDINTI,6329,2876,3453,1721,953,768,4608,1923,2685,
 MURES,5910,2924,2986,1836,1031,805,4074,1893,2181,
 NEAMT,8370,3999,4371,1803,1052,751,6567,2947,3620,
 OLT,9460,4420,5040,2400,1402,998,7060,3018,4042,
 PRAHOVA,9071,4825,4246,3534,2035,1499,5537,2790,2747,
 SALAJ,5254,2502,2752,1336,796,540,3918,1706,2212,
 SATU MARE,5223,2460,2763,1188,624,564,4035,1836,2199,
 SIBIU,5360,2710,2650,2351,1296,1055,3009,1414,1595,
 SUCEAVA,11600,5624,5976,3764,1984,1780,7836,3640,4196,
 TELEORMAN,7968,3702,4266,1958,1094,864,6010,2608,3402,
 TIMIS,4289,2462,1827,2279,1342,937,2010,1120,890,
 TULCEA,2478,1276,1202,781,467,314,1697,809,888,
 VALCEA,6292,3181,3111,2480,1362,1118,3812,1819,1993,
 VASLUI,8671,3829,4842,1777,1008,769,6894,2821,4073,
 VRANCEA,5422,2449,2973,1215,649,566,4207,1800,2407,
BUCURESTI,15343,8200,7143,15343,8200,7143,0,0,0,
Total TARA ,285294,139829,145465,100829,56253,44576,184465,83576,100889,
